year,age,sex,people
1985, 45,1,8000
1985, 45,2,5000
1985, 50,1,7000
1985, 50,2,4000
1985, 55,1,5000
1985, 55,2,4000
1985, 60,1,3000
1985, 60,2,3000
1985, 65,1,2000
1985, 65,2,2000
1985, 70,1,1000
1985, 70,2,1000
1985, 75,1,2000
1985, 75,2,1000
1985, 80,1,1000
1985, 80,2,1000
1990, 0,1,34000
1990, 0,2,32000
1990, 5,1,27000
1990, 5,2,26000
1990, 10,1,22000
1990, 10,2,21000
1990, 15,1,19000
1990, 15,2,18000
1990, 20,1,24000
1990, 20,2,20000
1990, 25,1,35000
1990, 25,2,23000
1990, 30,1,40000
1990, 30,2,22000
1990, 35,1,32000
1990, 35,2,15000
1990, 40,1,19000
1990, 40,2,8000
1990, 45,1,10000
1990, 45,2,6000
1990, 50,1,8000
1990, 50,2,6000
1990, 55,1,5000
1990, 55,2,4000
1990, 60,1,4000
1990, 60,2,4000
1990, 65,1,3000
1990, 65,2,2000
1990, 70,1,1000
1990, 70,2,1000
1990, 75,1,1000
1990, 75,2,1000
1990, 80,1,1000
1990, 80,2,0
1990, 85,1,0
1990, 85,2,0
1990, 90,1,0
1990, 90,2,0
1990, 95,1,0
1990, 95,2,0
1990, 100,1,0
1990, 100,2,0
1995, 0,1,31000
1995, 0,2,30000
1995, 5,1,29000
1995, 5,2,28000
1995, 10,1,27000
1995, 10,2,25000
1995, 15,1,21000
1995, 15,2,20000
1995, 20,1,28000
1995, 20,2,24000
1995, 25,1,39000
1995, 25,2,25000
1995, 30,1,43000
1995, 30,2,24000
1995, 35,1,37000
1995, 35,2,20000
1995, 40,1,26000
1995, 40,2,12000
1995, 45,1,16000
1995, 45,2,9000
1995, 50,1,10000
1995, 50,2,6000
1995, 55,1,6000
1995, 55,2,4000
1995, 60,1,4000
1995, 60,2,4000
1995, 65,1,3000
1995, 65,2,2000
1995, 70,1,2000
1995, 70,2,2000
1995, 75,1,1000
1995, 75,2,1000
1995, 80,1,0
1995, 80,2,0
1995, 85,1,0
1995, 85,2,0
1995, 90,1,0
1995, 90,2,0
1995, 95,1,0
1995, 95,2,0
1995, 100,1,0
1995, 100,2,0
2000, 0,1,37000
2000, 0,2,35000
2000, 5,1,38000
2000, 5,2,37000
2000, 10,1,30000
2000, 10,2,28000
2000, 15,1,25000
2000, 15,2,24000
2000, 20,1,33000
2000, 20,2,26000
2000, 25,1,41000
2000, 25,2,27000
2000, 30,1,45000
2000, 30,2,27000
2000, 35,1,40000
2000, 35,2,26000
2000, 40,1,34000
2000, 40,2,20000
2000, 45,1,25000
2000, 45,2,12000
2000, 50,1,14000
2000, 50,2,6000
2000, 55,1,7000
2000, 55,2,5000
2000, 60,1,5000
2000, 60,2,5000
2000, 65,1,3000
2000, 65,2,3000
2000, 70,1,2000
2000, 70,2,3000
2000, 75,1,1000
2000, 75,2,1000
2000, 80,1,1000
2000, 80,2,1000
2000, 85,1,0
2000, 85,2,0
2000, 90,1,0
2000, 90,2,0
2000, 95,1,0
2000, 95,2,0
2000, 100,1,0
2000, 100,2,0
2005, 0,1,42000
2005, 0,2,40000
2005, 5,1,43000
2005, 5,2,40000
2005, 10,1,34000
2005, 10,2,36000
2005, 15,1,37000
2005, 15,2,29000
2005, 20,1,64000
2005, 20,2,34000
2005, 25,1,64000
2005, 25,2,36000
2005, 30,1,60000
2005, 30,2,32000
2005, 35,1,55000
2005, 35,2,30000
2005, 40,1,42000
2005, 40,2,26000
2005, 45,1,38000
2005, 45,2,18000
2005, 50,1,22000
2005, 50,2,12000
2005, 55,1,10000
2005, 55,2,6000
2005, 60,1,6000
2005, 60,2,5000
2005, 65,1,4000
2005, 65,2,5000
2005, 70,1,3000
2005, 70,2,2000
2005, 75,1,2000
2005, 75,2,2000
2005, 80,1,1000
2005, 80,2,1000
2005, 85,1,0
2005, 85,2,0
2005, 90,1,0
2005, 90,2,0
2005, 95,1,0
2005, 95,2,0
2005, 100,1,0
2005, 100,2,0
2010, 0,1,46000
2010, 0,2,44000
2010, 5,1,44000
2010, 5,2,41000
2010, 10,1,37000
2010, 10,2,36000
2010, 15,1,34000
2010, 15,2,34000
2010, 20,1,68000
2010, 20,2,46000
2010, 25,1,134000
2010, 25,2,61000
2010, 30,1,112000
2010, 30,2,48000
2010, 35,1,89000
2010, 35,2,41000
2010, 40,1,79000
2010, 40,2,37000
2010, 45,1,47000
2010, 45,2,28000
2010, 50,1,43000
2010, 50,2,23000
2010, 55,1,23000
2010, 55,2,12000
2010, 60,1,11000
2010, 60,2,7000
2010, 65,1,4000
2010, 65,2,5000
2010, 70,1,4000
2010, 70,2,4000
2010, 75,1,2000
2010, 75,2,3000
2010, 80,1,1000
2010, 80,2,1000
2010, 85,1,1000
2010, 85,2,0
2010, 90,1,0
2010, 90,2,0
2010, 95,1,0
2010, 95,2,0
2010, 100,1,0
2010, 100,2,0
